package	suite	version
libepoxy0	resolute,now	1.5.10-2build1
liberror-perl	resolute,now	0.17030-1
libestr0	resolute,now	0.1.11-2build1
libevent-core-2.1-7t64	resolute,now	2.1.12-stable-10build2
libexpat1-dev	resolute,now	2.7.4-1
libexpat1	resolute,now	2.7.4-1
libext2fs2t64	resolute,now	1.47.2-3ubuntu4
libfakeroot	resolute,now	1.37.2-1
libfastjson4	resolute,now	1.2304.0-2build1
libfdisk1	resolute,now	2.41.3-3ubuntu2
libffi8	resolute,now	3.5.2-4
libfido2-1	resolute,now	1.16.0-2build1
libfile-basedir-perl	resolute,now	0.09-2
libfile-desktopentry-perl	resolute,now	0.23-1
libfile-fcntllock-perl	resolute,now	0.22-4ubuntu6
libfile-listing-perl	resolute,now	6.16-1
libfile-mimeinfo-perl	resolute,now	0.36-2
libfont-afm-perl	resolute,now	1.20-4
libfontconfig1	resolute,now	2.17.1-3ubuntu1
libfreetype6	resolute,now	2.14.2+dfsg-1
libfribidi0	resolute,now	1.0.16-5
libfuse3-4	resolute,now	3.18.2-1
libfyaml0	resolute,now	0.9.4-1
libgbm1	resolute,now	26.0.3-1ubuntu1
libgcc-15-dev	resolute,now	15.2.0-16ubuntu1
libgcc-s1	resolute,now	16-20260322-1ubuntu1
libgcrypt20	resolute-updates,resolute-security,now	1.12.0-2ubuntu0.1
libgdbm-compat4t64	resolute,now	1.26-1build1
libgdbm6t64	resolute,now	1.26-1build1
libgdk-pixbuf-2.0-0	resolute,now	2.44.5+dfsg-4ubuntu1
libgdk-pixbuf2.0-common	resolute,now	2.44.5+dfsg-4ubuntu1
libgirepository-2.0-0	resolute,now	2.88.0-1
libgl1-mesa-dri	resolute,now	26.0.3-1ubuntu1
libgl1	resolute,now	1.7.0-3
libglib2.0-0t64	resolute,now	2.88.0-1
libglib2.0-bin	resolute,now	2.88.0-1
libglib2.0-data	resolute,now	2.88.0-1
libglvnd0	resolute,now	1.7.0-3
libglx-mesa0	resolute,now	26.0.3-1ubuntu1
libglx0	resolute,now	1.7.0-3
libglycin-2-0	resolute,now	2.1.1+ds-0ubuntu1
libgmp10	resolute,now	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64	resolute-updates,resolute-security,now	3.8.12-2ubuntu1.1
libgomp1	resolute,now	16-20260322-1ubuntu1
libgpg-error-l10n	resolute,now	1.58-2
libgpg-error0	resolute,now	1.58-2
libgpm2	resolute,now	1.20.7-12build1
libgprofng0	resolute,now	2.46-3ubuntu2
libgraphite2-3	resolute,now	1.3.14-11ubuntu1
libgssapi-krb5-2	resolute,now	1.22.1-2ubuntu4
libgstreamer1.0-0	resolute,now	1.28.2-1
libgtk-3-0t64	resolute,now	3.24.52-0ubuntu1
libgtk-3-bin	resolute,now	3.24.52-0ubuntu1
libgtk-3-common	resolute,now	3.24.52-0ubuntu1
libharfbuzz0b	resolute,now	12.3.2-2
libheif-plugin-aomdec	resolute,now	1.21.2-3
libheif-plugin-aomenc	resolute,now	1.21.2-3
libheif1	resolute,now	1.21.2-3
libhogweed6t64	resolute,now	3.10.2-1
libhtml-form-perl	resolute,now	6.13-1build1
libhtml-format-perl	resolute,now	2.16-2
libhtml-parser-perl	resolute,now	3.83-1build1
libhtml-tagset-perl	resolute,now	3.24-1
libhtml-tree-perl	resolute,now	5.07-3
libhttp-cookies-perl	resolute,now	6.11-1
libhttp-daemon-perl	resolute,now	6.16-1
libhttp-date-perl	resolute,now	6.06-1
libhttp-message-perl	resolute,now	7.01-1ubuntu1
libhttp-negotiate-perl	resolute,now	6.01-2
libhwasan0	resolute,now	16-20260322-1ubuntu1
libhwy1t64	resolute,now	1.3.0-2
libibus-1.0-5	resolute,now	1.5.34~rc2-1
libice6	resolute,now	2:1.1.1-1build1
libicu78	resolute,now	78.2-2ubuntu1
libidn2-0	resolute,now	2.3.8-4build1
libio-html-perl	resolute,now	1.004-3
libio-socket-ssl-perl	resolute,now	2.098-1
libio-stringy-perl	resolute,now	2.113-2
libipc-system-simple-perl	resolute,now	1.30-2
libisl23	resolute,now	0.27-1build1
libitm1	resolute,now	16-20260322-1ubuntu1
libjansson4	resolute,now	2.14-2build4
libjemalloc2	resolute,now	5.3.0-4
libjs-events	resolute,now	3.3.0+~3.0.3-1
libjs-inherits	resolute,now	2.0.4-6
libjs-jquery	resolute,now	3.7.1+dfsg+~3.5.33-1build1
libjs-mathjax	resolute,now	2.7.9+dfsg-1build1
libjs-prettify	resolute,now	2015.12.04+dfsg-3
libjs-regenerate	resolute,now	1.4.2-3
libjs-source-map	resolute,now	0.7.0++dfsg2+really.0.6.1-15
libjs-sphinxdoc	resolute,now	8.2.3-12
libjs-sprintf-js	resolute,now	1.1.3+ds1+~1.1.4-2
libjs-underscore	resolute,now	1.13.8~dfsg+~1.13.0-1
libjs-util	resolute,now	0.12.5+~1.0.10-2
libjson-c5	resolute,now	0.18+ds-3
libjsoncpp26	resolute,now	1.9.6-5
libjxl0.11	resolute-updates,resolute-security,now	0.11.1-6ubuntu4.2
libk5crypto3	resolute,now	1.22.1-2ubuntu4
libkeyutils1	resolute,now	1.6.3-6ubuntu3
libkmod2	resolute,now	34.2-2ubuntu2
libkrb5-3	resolute,now	1.22.1-2ubuntu4
libkrb5support0	resolute,now	1.22.1-2ubuntu4
libksba8	resolute,now	1.6.7-2build1
liblcms2-2	resolute-updates,resolute-security,now	2.17-1ubuntu0.2
libldap-common	resolute,now	2.6.10+dfsg-1ubuntu5
libldap2	resolute,now	2.6.10+dfsg-1ubuntu5
libllhttp9.3	resolute,now	9.3.3~really9.3.0+~cs12.11.8-3build1
libllvm21	resolute,now	1:21.1.8-6ubuntu1
liblocale-gettext-perl	resolute,now	1.07-8
liblsan0	resolute,now	16-20260322-1ubuntu1
liblsof0	resolute,now	4.99.4+dfsg-2build2
liblwp-mediatypes-perl	resolute,now	6.04-2
liblwp-protocol-https-perl	resolute,now	6.14-1
liblz4-1	resolute,now	1.10.0-8
liblzma5	resolute,now	5.8.3-1
liblzo2-2	resolute,now	2.10-3build2
libmagic-mgc	resolute,now	1:5.46-5build2
libmagic1t64	resolute,now	1:5.46-5build2
libmailtools-perl	resolute,now	2.22-1
libmd0	resolute,now	1.1.0-2build4
libmnl0	resolute,now	1.0.5-3build1
libmount1	resolute,now	2.41.3-3ubuntu2
libmpc3	resolute,now	1.3.1-3
libmpfr6	resolute,now	4.2.2-3
libncursesw6	resolute,now	6.6+20251231-1
libnet-dbus-perl	resolute,now	1.2.0-2build4
libnet-http-perl	resolute,now	6.24-1build1
libnet-smtp-ssl-perl	resolute,now	1.04-2
libnet-ssleay-perl	resolute,now	1.94-3
libnetplan1	resolute,now	1.2-1ubuntu5
libnettle8t64	resolute,now	3.10.2-1
libnewt0.52	resolute,now	0.52.25-1ubuntu3
libnghttp2-14	resolute-updates,resolute-security,now	1.68.0-2ubuntu0.1
libnode-dev	resolute,now	22.22.1+dfsg+~cs22.19.15-1ubuntu1
libnode127	resolute,now	22.22.1+dfsg+~cs22.19.15-1ubuntu1
libnotify-bin	resolute,now	0.8.8-1
libnotify4	resolute,now	0.8.8-1
libnpth0t64	resolute,now	1.8-3build1
libnss-systemd	resolute,now	259.5-0ubuntu3
libp11-kit0	resolute,now	0.26.2-2
libpackagekit-glib2-18	resolute-updates,resolute-security,now	1.3.4-3ubuntu1
libpam-cap	resolute,now	1:2.75-10ubuntu2
libpam-modules-bin	resolute,now	1.7.0-5ubuntu3
libpam-modules	resolute,now	1.7.0-5ubuntu3
libpam-runtime	resolute,now	1.7.0-5ubuntu3
libpam-systemd	resolute,now	259.5-0ubuntu3
libpam0g	resolute,now	1.7.0-5ubuntu3
libpango-1.0-0	resolute,now	1.57.0-1
libpangocairo-1.0-0	resolute,now	1.57.0-1
libpangoft2-1.0-0	resolute,now	1.57.0-1
libpciaccess0	resolute,now	0.18.1-1ubuntu4
libpcre2-8-0	resolute,now	10.46-1build1
libperl5.40	resolute,now	5.40.1-7build1
libpipeline1	resolute,now	1.5.8-2
libpixman-1-0	resolute,now	0.46.4-1
libpng16-16t64	resolute,now	1.6.57-1
libpolkit-agent-1-0	resolute,now	127-2ubuntu1
libpolkit-gobject-1-0	resolute,now	127-2ubuntu1
libpopt0	resolute,now	1.19+dfsg-2build1
libproc2-0	resolute,now	2:4.0.4-9ubuntu1
libpsl5t64	resolute,now	0.21.2-1.1build2
libpython3-dev	resolute,now	3.14.3-0ubuntu2
libpython3-stdlib	resolute,now	3.14.3-0ubuntu2
libpython3.14-dev	resolute,now	3.14.4-1
libpython3.14-minimal	resolute,now	3.14.4-1
libpython3.14-stdlib	resolute,now	3.14.4-1
libpython3.14-testsuite	resolute,now	3.14.4-1
libpython3.14	resolute,now	3.14.4-1
libquadmath0	resolute,now	16-20260322-1ubuntu1
libre2-11	resolute,now	20250805-1build3
libreadline8t64	resolute,now	8.3-4
librhash1	resolute,now	1.4.6-1.1
librsvg2-2	resolute,now	2.61.3+dfsg-3
librsvg2-common	resolute,now	2.61.3+dfsg-3
librtmp1	resolute,now	2.4+20151223.gitfa8646d.1-3
libsasl2-2	resolute,now	2.1.28+dfsg1-9ubuntu3
libsasl2-modules-db	resolute,now	2.1.28+dfsg1-9ubuntu3
libsasl2-modules	resolute,now	2.1.28+dfsg1-9ubuntu3
libseccomp2	resolute,now	2.6.0-2ubuntu5
libselinux1	resolute,now	3.9-4build1
libsemanage-common	resolute,now	3.9-1build1
libsemanage2	resolute,now	3.9-1build1
libsensors-config	resolute,now	1:3.6.2-2build1
libsensors5	resolute,now	1:3.6.2-2build1
libsepol2	resolute,now	3.9-2
libsframe3	resolute,now	2.46-3ubuntu2
libsharpyuv0	resolute,now	1.5.0-0.1build1
libsimdjson29	resolute,now	4.2.4-1
libsimdutf31	resolute,now	8.0.0-1
libslang2	resolute,now	2.3.3-5build1
libsm6	resolute,now	2:1.2.6-1build1
libsmartcols1	resolute,now	2.41.3-3ubuntu2
libsodium23	resolute,now	1.0.18-2
libsqlite3-0	resolute,now	3.46.1-9
libss2	resolute,now	1.47.2-3ubuntu4
libssh2-1t64	resolute-updates,resolute-security,now	1.11.1-1ubuntu0.26.04.1
libssl-dev	resolute,now	3.5.5-1ubuntu3
libssl3t64	resolute,now	3.5.5-1ubuntu3
libstdc++-15-dev	resolute,now	15.2.0-16ubuntu1
libstdc++6	resolute,now	16-20260322-1ubuntu1
libstemmer0d	resolute,now	3.0.1-1
libsystemd-shared	resolute,now	259.5-0ubuntu3
libsystemd0	resolute,now	259.5-0ubuntu3
libtasn1-6	resolute,now	4.21.0-2
libtcl8.6	resolute,now	8.6.17+dfsg-1build1
libtext-charwidth-perl	resolute,now	0.04-11build4
libtext-iconv-perl	resolute,now	1.7-8.1
libtext-wrapi18n-perl	resolute,now	0.06-10
libthai-data	resolute,now	0.1.30-1
libthai0	resolute,now	0.1.30-1
libtie-ixhash-perl	resolute,now	1.23-4
libtimedate-perl	resolute,now	2.3300-2
libtinfo6	resolute,now	6.6+20251231-1
libtirpc-common	resolute,now	1.3.7-0.1
libtirpc3t64	resolute,now	1.3.7-0.1
libtk8.6	resolute,now	8.6.17-1build1
libtry-tiny-perl	resolute,now	0.32-1
libtsan2	resolute,now	16-20260322-1ubuntu1
libubsan1	resolute,now	16-20260322-1ubuntu1
libuchardet0	resolute,now	0.0.8-2
libudev1	resolute,now	259.5-0ubuntu3
libunistring5	resolute,now	1.3-2build1
liburi-perl	resolute,now	5.34-2build1
libuuid1	resolute,now	2.41.3-3ubuntu2
libuv1-dev	resolute,now	1.51.0-2ubuntu1
libuv1t64	resolute,now	1.51.0-2ubuntu1
libvulkan1	resolute,now	1.4.341.0-1
libwayland-client0	resolute,now	1.24.0-2
libwayland-cursor0	resolute,now	1.24.0-2
libwayland-egl1	resolute,now	1.24.0-2
libwww-perl	resolute-updates,resolute-security,now	6.81-1ubuntu0.1
libwww-robotrules-perl	resolute,now	6.02-1build1
libx11-6	resolute,now	2:1.8.13-1
libx11-data	resolute,now	2:1.8.13-1
libx11-protocol-perl	resolute,now	0.56-9
libx11-xcb1	resolute,now	2:1.8.13-1
libxau6	resolute,now	1:1.0.11-1build2
libxaw7	resolute,now	2:1.0.16-1build1
libxcb-dri3-0	resolute,now	1.17.0-2ubuntu1
libxcb-glx0	resolute,now	1.17.0-2ubuntu1
libxcb-present0	resolute,now	1.17.0-2ubuntu1
libxcb-randr0	resolute,now	1.17.0-2ubuntu1
libxcb-render0	resolute,now	1.17.0-2ubuntu1
libxcb-shape0	resolute,now	1.17.0-2ubuntu1
libxcb-shm0	resolute,now	1.17.0-2ubuntu1
libxcb-sync1	resolute,now	1.17.0-2ubuntu1
libxcb-xfixes0	resolute,now	1.17.0-2ubuntu1
