libfido2-1:amd64	1.16.0-2build1	amd64	ii 
libfile-basedir-perl	0.09-2	all	ii 
libfile-desktopentry-perl	0.23-1	all	ii 
libfile-fcntllock-perl	0.22-4ubuntu6	amd64	ii 
libfile-listing-perl	6.16-1	all	ii 
libfile-mimeinfo-perl	0.36-2	all	ii 
libfont-afm-perl	1.20-4	all	ii 
libfontconfig1:amd64	2.17.1-3ubuntu1	amd64	ii 
libfreetype6:amd64	2.14.2+dfsg-1	amd64	ii 
libfribidi0:amd64	1.0.16-5	amd64	ii 
libfuse3-4:amd64	3.18.2-1	amd64	ii 
libfyaml0:amd64	0.9.4-1	amd64	ii 
libgbm1:amd64	26.0.3-1ubuntu1	amd64	ii 
libgcc-15-dev:amd64	15.2.0-16ubuntu1	amd64	ii 
libgcc-s1:amd64	16-20260322-1ubuntu1	amd64	ii 
libgcrypt20:amd64	1.12.0-2ubuntu0.1	amd64	ii 
libgdbm-compat4t64:amd64	1.26-1build1	amd64	ii 
libgdbm6t64:amd64	1.26-1build1	amd64	ii 
libgdk-pixbuf-2.0-0:amd64	2.44.5+dfsg-4ubuntu1	amd64	ii 
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1	all	ii 
libgirepository-2.0-0:amd64	2.88.0-1	amd64	ii 
libgl1:amd64	1.7.0-3	amd64	ii 
libgl1-mesa-dri:amd64	26.0.3-1ubuntu1	amd64	ii 
libglib2.0-0t64:amd64	2.88.0-1	amd64	ii 
libglib2.0-bin	2.88.0-1	amd64	ii 
libglib2.0-data	2.88.0-1	all	ii 
libglvnd0:amd64	1.7.0-3	amd64	ii 
libglx-mesa0:amd64	26.0.3-1ubuntu1	amd64	ii 
libglx0:amd64	1.7.0-3	amd64	ii 
libglycin-2-0:amd64	2.1.1+ds-0ubuntu1	amd64	ii 
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2	amd64	ii 
libgnutls30t64:amd64	3.8.12-2ubuntu1.1	amd64	ii 
libgomp1:amd64	16-20260322-1ubuntu1	amd64	ii 
libgpg-error-l10n	1.58-2	all	ii 
libgpg-error0:amd64	1.58-2	amd64	ii 
libgpm2:amd64	1.20.7-12build1	amd64	ii 
libgprofng0:amd64	2.46-3ubuntu2	amd64	ii 
