Listing...
sudo/noble-updates,noble-security 1.9.15p5-3ubuntu5.24.04.2 amd64 [upgradable from: 1.9.15p5-3ubuntu5.24.04.1]
systemd-dev/noble-updates 255.4-1ubuntu8.15 all [upgradable from: 255.4-1ubuntu8.12]
systemd-hwe-hwdb/noble-updates 255.1.7 all [upgradable from: 255.1.6]
systemd-resolved/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
systemd-sysv/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
systemd-timesyncd/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
systemd/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
terraform/noble 1.14.8-1 amd64 [upgradable from: 1.14.3-1]
tzdata/noble-updates,noble-security 2026a-0ubuntu0.24.04.1 all [upgradable from: 2025b-0ubuntu0.24.04.1]
ubuntu-release-upgrader-core/noble-updates 1:24.04.28 all [upgradable from: 1:24.04.27]
udev/noble-updates 255.4-1ubuntu8.15 amd64 [upgradable from: 255.4-1ubuntu8.12]
util-linux/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
uuid-runtime/noble-updates,noble-security 2.39.3-9ubuntu6.5 amd64 [upgradable from: 2.39.3-9ubuntu6.4]
va-driver-all/noble-updates 2.20.0-2ubuntu0.1 amd64 [upgradable from: 2.20.0-2build1]
vim-common/noble-updates,noble-security 2:9.1.0016-1ubuntu7.11 all [upgradable from: 2:9.1.0016-1ubuntu7.9]
vim-runtime/noble-updates,noble-security 2:9.1.0016-1ubuntu7.11 all [upgradable from: 2:9.1.0016-1ubuntu7.9]
vim-tiny/noble-updates,noble-security 2:9.1.0016-1ubuntu7.11 amd64 [upgradable from: 2:9.1.0016-1ubuntu7.9]
vim/noble-updates,noble-security 2:9.1.0016-1ubuntu7.11 amd64 [upgradable from: 2:9.1.0016-1ubuntu7.9]
wsl-setup/noble-updates 0.5.10~24.04.1 amd64 [upgradable from: 0.5.10~24.04]
xxd/noble-updates,noble-security 2:9.1.0016-1ubuntu7.11 amd64 [upgradable from: 2:9.1.0016-1ubuntu7.9]
