libfido2-1	1.16.0-2build1	amd64	install ok installed
libfile-basedir-perl	0.09-2	all	install ok installed
libfile-desktopentry-perl	0.23-1	all	install ok installed
libfile-fcntllock-perl	0.22-4ubuntu6	amd64	install ok installed
libfile-listing-perl	6.16-1	all	install ok installed
libfile-mimeinfo-perl	0.36-2	all	install ok installed
libfont-afm-perl	1.20-4	all	install ok installed
libfontconfig1	2.17.1-3ubuntu1	amd64	install ok installed
libfreetype6	2.14.2+dfsg-1	amd64	install ok installed
libfribidi0	1.0.16-5	amd64	install ok installed
libfuse3-4	3.18.2-1	amd64	install ok installed
libfyaml0	0.9.4-1	amd64	install ok installed
libgbm1	26.0.3-1ubuntu1	amd64	install ok installed
libgcc-15-dev	15.2.0-16ubuntu1	amd64	install ok installed
libgcc-s1	16-20260322-1ubuntu1	amd64	install ok installed
libgcrypt20	1.12.0-2ubuntu0.1	amd64	install ok installed
libgdbm-compat4t64	1.26-1build1	amd64	install ok installed
libgdbm6t64	1.26-1build1	amd64	install ok installed
libgdk-pixbuf-2.0-0	2.44.5+dfsg-4ubuntu1	amd64	install ok installed
libgdk-pixbuf2.0-common	2.44.5+dfsg-4ubuntu1	all	install ok installed
libgirepository-2.0-0	2.88.0-1	amd64	install ok installed
libgl1	1.7.0-3	amd64	install ok installed
libgl1-mesa-dri	26.0.3-1ubuntu1	amd64	install ok installed
libglib2.0-0t64	2.88.0-1	amd64	install ok installed
libglib2.0-bin	2.88.0-1	amd64	install ok installed
libglib2.0-data	2.88.0-1	all	install ok installed
libglvnd0	1.7.0-3	amd64	install ok installed
libglx-mesa0	26.0.3-1ubuntu1	amd64	install ok installed
libglx0	1.7.0-3	amd64	install ok installed
libglycin-2-0	2.1.1+ds-0ubuntu1	amd64	install ok installed
libgmp10	2:6.3.0+dfsg-5ubuntu2	amd64	install ok installed
libgnutls30t64	3.8.12-2ubuntu1.1	amd64	install ok installed
libgomp1	16-20260322-1ubuntu1	amd64	install ok installed
libgpg-error-l10n	1.58-2	all	install ok installed
libgpg-error0	1.58-2	amd64	install ok installed
libgpm2	1.20.7-12build1	amd64	install ok installed
libgprofng0	2.46-3ubuntu2	amd64	install ok installed
libgraphite2-3	1.3.14-11ubuntu1	amd64	install ok installed
libgssapi-krb5-2	1.22.1-2ubuntu4	amd64	install ok installed
libgstreamer1.0-0	1.28.2-1	amd64	install ok installed
libgtk-3-0t64	3.24.52-0ubuntu1	amd64	install ok installed
libgtk-3-bin	3.24.52-0ubuntu1	amd64	install ok installed
libgtk-3-common	3.24.52-0ubuntu1	all	install ok installed
libharfbuzz0b	12.3.2-2	amd64	install ok installed
libheif-plugin-aomdec	1.21.2-3	amd64	install ok installed
libheif-plugin-aomenc	1.21.2-3	amd64	install ok installed
libheif1	1.21.2-3	amd64	install ok installed
libhogweed6t64	3.10.2-1	amd64	install ok installed
libhtml-form-perl	6.13-1build1	all	install ok installed
libhtml-format-perl	2.16-2	all	install ok installed
libhtml-parser-perl	3.83-1build1	amd64	install ok installed
libhtml-tagset-perl	3.24-1	all	install ok installed
libhtml-tree-perl	5.07-3	all	install ok installed
libhttp-cookies-perl	6.11-1	all	install ok installed
libhttp-daemon-perl	6.16-1	all	install ok installed
libhttp-date-perl	6.06-1	all	install ok installed
libhttp-message-perl	7.01-1ubuntu1	all	install ok installed
libhttp-negotiate-perl	6.01-2	all	install ok installed
libhwasan0	16-20260322-1ubuntu1	amd64	install ok installed
libhwy1t64	1.3.0-2	amd64	install ok installed
libibus-1.0-5	1.5.34~rc2-1	amd64	install ok installed
libice6	2:1.1.1-1build1	amd64	install ok installed
libicu78	78.2-2ubuntu1	amd64	install ok installed
libidn2-0	2.3.8-4build1	amd64	install ok installed
libio-html-perl	1.004-3	all	install ok installed
libio-socket-ssl-perl	2.098-1	all	install ok installed
libio-stringy-perl	2.113-2	all	install ok installed
libipc-system-simple-perl	1.30-2	all	install ok installed
libisl23	0.27-1build1	amd64	install ok installed
libitm1	16-20260322-1ubuntu1	amd64	install ok installed
libjansson4	2.14-2build4	amd64	install ok installed
libjemalloc2	5.3.0-4	amd64	install ok installed
libjs-events	3.3.0+~3.0.3-1	all	install ok installed
libjs-inherits	2.0.4-6	all	install ok installed
libjs-jquery	3.7.1+dfsg+~3.5.33-1build1	all	install ok installed
libjs-mathjax	2.7.9+dfsg-1build1	all	install ok installed
libjs-prettify	2015.12.04+dfsg-3	all	install ok installed
libjs-regenerate	1.4.2-3	all	install ok installed
libjs-source-map	0.7.0++dfsg2+really.0.6.1-15	all	install ok installed
libjs-sphinxdoc	8.2.3-12	all	install ok installed
libjs-sprintf-js	1.1.3+ds1+~1.1.4-2	all	install ok installed
libjs-underscore	1.13.8~dfsg+~1.13.0-1	all	install ok installed
libjs-util	0.12.5+~1.0.10-2	all	install ok installed
libjson-c5	0.18+ds-3	amd64	install ok installed
libjsoncpp26	1.9.6-5	amd64	install ok installed
libjxl0.11	0.11.1-6ubuntu4	amd64	install ok installed
